sample	pop	super_pop	gender		
POG2023WGS00160	TIB	NA	NA
POG2023WGS00161	TIB	NA	NA
POG2023WGS00162	TIB	NA	NA
POG2023WGS00163	TIB	NA	NA
POG2023WGS00164	TIB	NA	NA
POG2023WGS00165	TIB	NA	NA
POG2023WGS00166	TIB	NA	NA
POG2023WGS00167	TIB	NA	NA
POG2023WGS00168	TIB	NA	NA
POG2023WGS00169	TIB	NA	NA
POG2023WGS00170	TIB	NA	NA
POG2023WGS00171	TIB	NA	NA
POG2023WGS00172	TIB	NA	NA
POG2023WGS00173	TIB	NA	NA
POG2023WGS00174	TIB	NA	NA
POG2023WGS00175	TIB	NA	NA
POG2023WGS00176	TIB	NA	NA
POG2023WGS00177	TIB	NA	NA
POG2023WGS00178	TIB	NA	NA
POG2023WGS00179	TIB	NA	NA
POG2023WGS00180	TIB	NA	NA
POG2023WGS00181	TIB	NA	NA
POG2023WGS00182	TIB	NA	NA
POG2023WGS00183	TIB	NA	NA
POG2023WGS00184	TIB	NA	NA
POG2023WGS00185	TIB	NA	NA
POG2023WGS00186	TIB	NA	NA
POG2023WGS00187	TIB	NA	NA
POG2023WGS00188	TIB	NA	NA
POG2023WGS00189	TIB	NA	NA
POG2023WGS00190	TIB	NA	NA
POG2023WGS00191	TIB	NA	NA
POG2023WGS00192	TIB	NA	NA
POG2023WGS00193	TIB	NA	NA
POG2023WGS00194	TIB	NA	NA
POG2023WGS00195	TIB	NA	NA
POG2023WGS00196	TIB	NA	NA
POG2023WGS00197	TIB	NA	NA
POG2023WGS00198	TIB	NA	NA
POG2023WGS00199	TIB	NA	NA
POG2023WGS00200	TIB	NA	NA
POG2023WGS00201	TIB	NA	NA
POG2023WGS00202	TIB	NA	NA
POG2023WGS00203	TIB	NA	NA
POG2023WGS00204	TIB	NA	NA
POG2023WGS00205	TIB	NA	NA
POG2023WGS00206	TIB	NA	NA
POG2023WGS00207	TIB	NA	NA
POG2023WGS00208	TIB	NA	NA
POG2023WGS00209	TIB	NA	NA
POG2023WGS00210	TIB	NA	NA
POG2023WGS00211	TIB	NA	NA
POG2023WGS00212	TIB	NA	NA
POG2023WGS00213	TIB	NA	NA
POG2023WGS00214	TIB	NA	NA
POG2023WGS00215	TIB	NA	NA
POG2023WGS00216	TIB	NA	NA
POG2023WGS00217	TIB	NA	NA
POG2023WGS00218	TIB	NA	NA
POG2023WGS00219	TIB	NA	NA
POG2023WGS00220	TIB	NA	NA
POG2023WGS00221	TIB	NA	NA
POG2023WGS00222	TIB	NA	NA
POG2023WGS00223	TIB	NA	NA
POG2023WGS00224	TIB	NA	NA
POG2023WGS00225	TIB	NA	NA
POG2023WGS00226	TIB	NA	NA
POG2023WGS00227	TIB	NA	NA
